0    ASSIGNOP
1    FILEEND
2    RELOP
3    ID
4    CONTROL
5    ADDOP
6    MULOP
7    WS
8    ARRAY
9    TYPE
10   VAR
11   INT
12   REAL
13   PUNC
14   GROUP
15   INVERSE
16   NOOP
17   LEXERR
      Line              Lexeme     Token Type     Token Attribute
         1             program              4                   7
         1                 fib              3      0x7fefd24033c0
         1                   (             14                   0
         1               input              3      0x7fefd2403500
         1                   ,             13                   0
         1              output              3      0x7fefd2403680
         1                   )             14                   1
         1                   ;             13                   1
         2                 var             10                   0
         2excessivelyLongIntegerArrayName             17                   1
         2                   :              9                   0
         2               array              8                   0
         2                   [             14                   2
         2                   1             11                   1
         2                  ..              8                   1
         2                  12             11                  12
         2                   ]             14                   3
         2                  of              8                   2
         2             integer              9                   1
         2                   ;             13                   1
         4               begin              4                   0
         5                init              3      0x7fefd2404460
         5                   ;             13                   1
         6             writeln              3      0x7fefd2404680
         6                   (             14                   0
         6     123456789012345             17                   2
         6                   )             14                   1
         6                   ;             13                   1
         7             writeln              3      0x7fefd2404680
         7                   (             14                   0
         7   123456.123456E003             17                  10
         7   123456.123456E003             17                   5
         7   123456.123456E003             17                   4
         7   123456.123456E003             17                   3
         7                   )             14                   1
         7                   ;             13                   1
         8              23.47E             17                   6
         9              037E-2             17                   8
        10             writeln              3      0x7fefd2404680
        10                   (             14                   0
        10         01.45620E02             17                   9
        10         01.45620E02             17                  10
        10         01.45620E02             17                   8
        10                   )             14                   1
        10                   ;             13                   1
        12                4E+.             17                   6
        12                4E+.             17                  11
        13               3.4E+             17                   6
        14                34E.             17                   6
        14                34E.             17                  11
        15                  E4              3      0x7fefd2405fb0
        15                  .3             12            0.300000
        16                   $             17                   0
        16                   @             17                   0
        17                 end              4                   3
        17                   .             13                   2
        17                   ?             17                   0
        18                 EOF              1                   0
