1    FILEEND
2    ASSIGNOP
3    RELOP
4    ID
5    CONTROL
6    ADDOP
7    MULOP
8    WS
9    ARRAY
10   TYPE
11   VAR
12   NUM
13   PUNC
14   GROUP
15   INVERSE
16   LEXERR
17   SYNERR
18   SEMERR
      Line              Lexeme     Token Attribute          Token Type
        35                 sum                   4      0x7fba5250d1c0
        35                   ;                  13                   1
        35                                      18                   0
        36                   c                   4      0x7fba52506790
        36                  :=                   2                   0
        36                   b                   4      0x7fba52505830
        37                 end                   5                   3
        37                   ;                  13                   1
        38                fib2                   4      0x7fba5250b340
        38                  :=                   2                   0
        38                 sum                   4      0x7fba5250d1c0
        38                                      18                   0
        39                 end                   5                   3
        39                   ;                  13                   1
        41           procedure                   5                   6
        41                init                   4      0x7fba5260f370
        41                   ;                  13                   1
        42               begin                   5                   0
        43                   n                   4      0x7fba5260fe20
        43                  :=                   2                   0
        43                  12                  12                   0
        43                                      18                   0
        43                   ;                  13                   1
        44                  if                   5                   5
        44                 not                  15                   0
        44                   (                  14                   0
        44                   1                  12                   0
        44                   <                   3                   0
        44                  74                  12                   0
        44                   )                  14                   1
        44                  or                   6                   2
        44                   3                  12                   0
        44                then                   5                   8
        44                                      18                   0
        44                   p                   4      0x7fba52502530
        44                  :=                   2                   0
        44                   (                  14                   0
        44                   1                  12                   0
        44                   >                   3                   3
        44                   2                  12                   0
        44                   )                  14                   1
        44                 and                   7                   2
        44                   (                  14                   0
        44                   3                  12                   0
        44                   <                   3                   0
        44                   n                   4      0x7fba5260fe20
        44                   )                  14                   1
        44                                      18                   0
        45                else                   5                   2
        45                   p                   4      0x7fba52502530
        45                  :=                   2                   0
        45                 not                  15                   0
        45                   2                  12                   0
        45                   ;                  13                   1
        45                                      18                   0
        46           numsArray                   4      0x7fba52502f50
        46                   [                  14                   2
        46                   3                  12                   0
        46                   ]                  14                   3
        46                  :=                   2                   0
        46               15.56                  12                   1
        46                   ;                  13                   1
        46                                      18                   0
        47                   q                   4      0x7fba525043b0
        47                  :=                   2                   0
        47                   q                   4      0x7fba525043b0
        47                   [                  14                   2
        47                   4                  12                   0
        47                   ]                  14                   3
        47                   ;                  13                   1
        47                                      18                   0
        48                   q                   4      0x7fba525043b0
        48                   [                  14                   2
        48                   4                  12                   0
        48                   ]                  14                   3
        48                  :=                   2                   0
        48                                      18                   0
        48                  12                  12                   0
        49                 end                   5                   3
        49                   ;                  13                   1
        51               begin                   5                   0
        52                call                   5                  10
        52                init                   4      0x7fba5260f370
        52                   ;                  13                   1
        53                call                   5                  10
        53                fib2                   4      0x7fba5250b340
        53                   ;                  13                   1
        53                                      18                   0
        54                call                   5                  10
        54               rawr3                   4      0x7fba5250e950
        54                   (                  14                   0
        54                                      18                   0
        54                  34                  12                   0
        54                   ,                  13                   0
        54                  56                  12                   0
        54                   )                  14                   1
        55                 end                   5                   3
        55                   .                  13                   2
        56                 EOF                   1                   0
