1    FILEEND
2    ASSIGNOP
3    RELOP
4    ID
5    CONTROL
6    ADDOP
7    MULOP
8    WS
9    ARRAY
10   TYPE
11   VAR
12   NUM
13   PUNC
14   GROUP
15   INVERSE
16   LEXERR
17   SYNERR
18   SEMERR
      Line              Lexeme     Token Attribute          Token Type
         1             program                   5                   7
         1                 fib                   4      0x7fab12d03700
         1                   (                  14                   0
         1               input                   4      0x7fab12d03a10
         1                   ,                  13                   0
         1              output                   4      0x7fab12d03d90
         1                   )                  14                   1
         1                   ;                  13                   1
         2                 var                  11                   0
         2                   a                   4      0x7fab12d04460
         2                   :                  10                   0
         2             integer                  10                   1
         2                   ;                  13                   1
         2                 var                  11                   0
         2                   p                   4      0x7fab12d04c60
         2                   :                  10                   0
         2             integer                  10                   1
         2                   ;                  13                   1
         3                 var                  11                   0
         3           numsArray                   4      0x7fab12d05680
         3                   :                  10                   0
         3               array                   9                   0
         3                   [                  14                   2
         3                   6                  12                   0
         3                  ..                   9                   1
         3                  12                  12                   0
         3                   ]                  14                   3
         3                  of                   9                   2
         3             integer                  10                   1
         3                   ;                  13                   1
         4                 var                  11                   0
         4                   q                   4      0x7fab12d06ae0
         4                   :                  10                   0
         4                real                  10                   2
         4                   ;                  13                   1
         6           procedure                   5                   6
         6                fib1                   4      0x7fab12d07550
         6                   (                  14                   0
         6                   a                   4      0x7fab12d04460
         6                   :                  10                   0
         6             integer                  10                   1
         6                   ;                  13                   1
         6                   b                   4      0x7fab12d07e60
         6                   :                  10                   0
         6                real                  10                   2
         6                   ;                  13                   1
         6                   c                   4      0x7fab12d084c0
         6                   :                  10                   0
         6                real                  10                   2
         6                   )                  14                   1
         6                   ;                  13                   1
         7               begin                   5                   0
         8                  if                   5                   5
         8                   a                   4      0x7fab12d04460
         8                  <=                   3                   1
         8                   1                  12                   0
         8                then                   5                   8
         8                 fib                   4      0x7fab12d03700
         8                  :=                   2                   0
         8                   c                   4      0x7fab12d084c0
         8                                      18                   0
         9                else                   5                   2
         9                call                   5                  10
