1    FILEEND
2    ASSIGNOP
3    RELOP
4    ID
5    CONTROL
6    ADDOP
7    MULOP
8    WS
9    ARRAY
10   TYPE
11   VAR
12   NUM
13   PUNC
14   GROUP
15   INVERSE
16   LEXERR
17   SYNERR
18   SEMERR
      Line              Lexeme     Token Attribute          Token Type
         9                 fib                   4      0x7fab12d03700
         9                   (                  14                   0
         9                                      18                   0
         9                   a                   4      0x7fab12d04460
         9                   -                   6                   1
         9                   1                  12                   0
         9                   ,                  13                   0
         9                   c                   4      0x7fab12d084c0
         9                   ,                  13                   0
         9                   b                   4      0x7fab12d07e60
         9                   +                   6                   0
         9                   c                   4      0x7fab12d084c0
         9                   )                  14                   1
        10                 end                   5                   3
        10                   ;                  13                   1
        12           procedure                   5                   6
        12                fib2                   4      0x7fab12d0c840
        12                   (                  14                   0
        12                   a                   4      0x7fab12d04460
        12                   :                  10                   0
        12             integer                  10                   1
        12                   )                  14                   1
        12                   ;                  13                   1
        13                 var                  11                   0
        13                   b                   4      0x7fab12d07e60
        13                   :                  10                   0
        13                real                  10                   2
        13                   ;                  13                   1
        13                 var                  11                   0
        13                   c                   4      0x7fab12d084c0
        13                   :                  10                   0
        13                real                  10                   2
        13                   ;                  13                   1
        13                 var                  11                   0
        13                 sum                   4      0x7fab12d0e6c0
        13                   :                  10                   0
        13             integer                  10                   1
        13                   ;                  13                   1
        14                 var                  11                   0
        14                   b                   4      0x7fab12d07e60
        14                   :                  10                   0
        14                real                  10                   2
        14                   ;                  13                   1
        14                                      18                   0
        15           procedure                   5                   6
        15               rawr3                   4      0x7fab12d0fe30
        15                   (                  14                   0
        15                   b                   4      0x7fab12d07e60
        15                   :                  10                   0
        15                real                  10                   2
        15                   )                  14                   1
        15                   ;                  13                   1
        16                 var                  11                   0
        16                   q                   4      0x7fab12d06ae0
        16                   :                  10                   0
        16                real                  10                   2
        16                   ;                  13                   1
        17               begin                   5                   0
        18                   q                   4      0x7fab12d06ae0
        18                  :=                   2                   0
        18                   b                   4      0x7fab12d07e60
        18                   +                   6                   0
        18                 2.0                  12                   1
        18                   ;                  13                   1
        19                call                   5                  10
        19                fib2                   4      0x7fab12d0c840
        19                   (                  14                   0
        19                   q                   4      0x7fab12d06ae0
        19                   )                  14                   1
        19                                      18                   0
        20                 end                   5                   3
        20                   ;                  13                   1
        22               begin                   5                   0
        23                   a                   4      0x7fab12d04460
        23                  :=                   2                   0
        23                   a                   4      0x7fab12d04460
        23                   -                   6                   1
        23                   1                  12                   0
        23                   ;                  13                   1
        24                   b                   4      0x7fab12d07e60
        24                  :=                   2                   0
        24                   0                  12                   0
        24                   ;                  13                   1
        24                                      18                   0
        25                 sum                   4      0x7fab12d0e6c0
        25                  :=                   2                   0
        25                   1                  12                   0
        25                   ;                  13                   1
        26                   c                   4      0x7fab12d084c0
        26                  :=                   2                   0
        26                   b                   4      0x7fab12d07e60
        26                   ;                  13                   1
        27               while                   5                   9
        27                   (                  14                   0
        27                   a                   4      0x7fab12d04460
        27                   >                   3                   3
        27                   0                  12                   0
        27                   )                  14                   1
        27                  do                   5                   1
        28               begin                   5                   0
        29                   a                   4      0x7fab12d04460
        29                  :=                   2                   0
        29                   a                   4      0x7fab12d04460
        29                   -                   6                   1
        29                   1                  12                   0
        29                   ;                  13                   1
        30                   b                   4      0x7fab12d07e60
        30                  :=                   2                   0
        30                 sum                   4      0x7fab12d0e6c0
        30                   ;                  13                   1
        30                                      18                   0
        31                 sum                   4      0x7fab12d0e6c0
        31                  :=                   2                   0
        31                   c                   4      0x7fab12d084c0
        31                   +                   6                   0
        31                 sum                   4      0x7fab12d0e6c0
        31                   ;                  13                   1
        31                                      18                   0
        32                   c                   4      0x7fab12d084c0
        32                  :=                   2                   0
        32                   b                   4      0x7fab12d07e60
        33                 end                   5                   3
        33                   ;                  13                   1
        34                fib2                   4      0x7fab12d0c840
        34                  :=                   2                   0
        34                 sum                   4      0x7fab12d0e6c0
        34                                      18                   0
        35                 end                   5                   3
        35                   ;                  13                   1
        37           procedure                   5                   6
        37                init                   4      0x7fab12d1ce40
        37                   ;                  13                   1
        38               begin                   5                   0
        39                   n                   4      0x7fab12d1d8f0
        39                  :=                   2                   0
        39                  12                  12                   0
        39                                      18                   0
        39                   ;                  13                   1
        40                  if                   5                   5
        40                   (                  14                   0
        40                   1                  12                   0
        40                 and                   7                   2
        40                   2                  12                   0
        40                   )                  14                   1
        40                                      18                   0
        40                  or                   6                   2
        40                   3                  12                   0
        40                then                   5                   8
        40                   p                   4      0x7fab12d04c60
        40                  :=                   2                   0
        40                  12                  12                   0
        41                else                   5                   2
        41                   p                   4      0x7fab12d04c60
        41                  :=                   2                   0
        41                  14                  12                   0
        41                   ;                  13                   1
        42           numsArray                   4      0x7fab12d05680
        42                   [                  14                   2
        42                   3                  12                   0
        42                   ]                  14                   3
        42                  :=                   2                   0
        42               15.56                  12                   1
        42                   ;                  13                   1
        42                                      18                   0
        43                   q                   4      0x7fab12d06ae0
        43                  :=                   2                   0
        43                   q                   4      0x7fab12d06ae0
        43                   [                  14                   2
        43                   4                  12                   0
        43                   ]                  14                   3
        43                   ;                  13                   1
        43                                      18                   0
        44                   q                   4      0x7fab12d06ae0
        44                   [                  14                   2
        44                   4                  12                   0
        44                   ]                  14                   3
        44                  :=                   2                   0
        44                                      18                   0
        44                  12                  12                   0
        45                 end                   5                   3
        45                   ;                  13                   1
        47               begin                   5                   0
        48                call                   5                  10
        48                init                   4      0x7fab12d1ce40
        48                   ;                  13                   1
        49                call                   5                  10
        49                fib2                   4      0x7fab12d0c840
        49                   ;                  13                   1
        49                                      18                   0
        50                call                   5                  10
        50               rawr3                   4      0x7fab12d0fe30
        50                   (                  14                   0
        50                                      18                   0
        50                  34                  12                   0
        50                   ,                  13                   0
        50                  56                  12                   0
        50                   )                  14                   1
        51                 end                   5                   3
        51                   .                  13                   2
        52                 EOF                   1                   0
